frame,hand_index,angle_thumb_pip,angle_thumb_dip,angle_index_pip,angle_index_dip,angle_middle_pip,angle_middle_dip,angle_ring_pip,angle_ring_dip,angle_pinky_pip,angle_pinky_dip,dist_thumb_index,dist_thumb_middle,dist_thumb_ring,dist_thumb_pinky,dist_index_middle,dist_index_ring,dist_index_pinky,dist_middle_ring,dist_middle_pinky,dist_ring_pinky,thumb_y_rel_wrist,thumb_y_rel_index_mcp,thumb_dist_to_index_mcp,thumb_palm_dist,thumb_adduction_angle,index_fret_idx,index_string_idx,index_fret_dist_px,middle_fret_idx,middle_string_idx,middle_fret_dist_px,ring_fret_idx,ring_string_idx,ring_fret_dist_px,pinky_fret_idx,pinky_string_idx,pinky_fret_dist_px
27,0,162.50651879744234,173.3135602621532,120.71619683882577,157.7999393675125,116.22884752546088,152.70568647551704,129.7507653759701,165.38288926451898,116.08003474074924,159.57484210758926,0.039513367549351607,0.06332629977755377,0.09372399024845816,0.11547587545477218,0.04238955860088759,0.09951135736188364,0.12117081829705516,0.06748513345794382,0.09389861011472046,0.046247458359951046,-0.17175376415252686,0.001498579978942871,0.10445358614780047,0.10368029247681296,42.65982259188165,,,,,,,,,,,,
28,0,162.47893508037654,171.028934797682,117.34603582330284,160.58452848957472,115.64318722431275,154.59522595386318,127.24252658797681,165.67594978448366,106.67974335640807,161.11326542475118,0.04233113456320389,0.057221267302073275,0.08958040918051678,0.11887337054319906,0.04133994308869274,0.10016275219948614,0.123311707071965,0.0673421640979283,0.09758916891191972,0.051602395054655324,-0.17805516719818115,0.0024936795234680176,0.11991878996078688,0.11927875519196524,42.5630897540121,,,,,,,,,,,,
29,0,162.3865126307917,169.62784493125324,122.20059378902164,157.86515852054555,124.38172324169989,150.03927728736392,132.63452742386616,162.79463984724254,111.56146051819515,159.40433753589176,0.043494996819073685,0.06251655281644324,0.09622141637864959,0.11567242252042359,0.04571794090753073,0.10839305553155747,0.12580164690040088,0.07202465372286089,0.09721448228699012,0.04953412493185014,-0.17615026235580444,0.010946273803710938,0.1110062379983564,0.11099770633269662,42.42933208519515,,,,,,,,,,,,
30,0,162.30303358724058,168.3987937081164,117.31916432145253,162.780496019887,125.77416535561466,154.00988260097927,137.14693233168927,164.01030764375096,117.41673509876257,160.42311472785076,0.04401393336995683,0.054842030855023594,0.09126248561593656,0.11295481610587736,0.04425965011212739,0.10793659618517623,0.12399617059256965,0.0713835666978468,0.0959968363576645,0.04808922274699725,-0.180400550365448,0.012363672256469727,0.1113398835307254,0.11105072070989731,39.81691522090713,,,,,,,,,,,,
31,0,163.8943152525823,167.99503190667113,118.6070645334348,162.0015566752429,125.25041068543743,154.99493332807188,131.9616594673983,162.98677711738608,115.95168574650789,159.71443309821473,0.03762643641583934,0.0562441701314982,0.09147182818486826,0.10863914966250639,0.03683986144773718,0.09845024320078802,0.11423885480787505,0.07009090278078424,0.09239727351457733,0.047411531308512694,-0.18188250064849854,0.006417632102966309,0.106319437808779,0.10592971398176859,40.11741192901366,,,,,,,,,,,,
32,0,167.1532221726371,172.91246732623327,121.425716970197,160.4499463888288,123.27379873421931,151.30078514725807,129.88382764910338,163.5540783165185,112.69045522240704,158.2523487737503,0.04528206470810549,0.07583998939174472,0.1122418970384024,0.12834365457760266,0.047675801284974687,0.1108211734210255,0.1321080874711336,0.0730583707959729,0.10019470883384832,0.05078763037792601,-0.17867237329483032,-0.0023443102836608887,0.0814486382456666,0.07674287145485623,39.59829178485005,,,,,,,,,,,,
33,0,167.0028822332683,178.04991165911892,113.62372407731718,157.6622261507207,115.74130156745952,150.5101320748428,132.18441237531397,159.5497762052127,121.74897554327634,155.2820083701941,0.03354986922456828,0.050295851656567345,0.08301243421209273,0.10500780727365279,0.03281779969257045,0.08767471211395944,0.10502207216212275,0.0627649467022751,0.0858298799461393,0.04645474991026127,-0.18959647417068481,-0.008365452289581299,0.1062919031055696,0.103166585803746,38.972624090814975,,,,,,,,,,,,
34,0,167.25683424412293,177.20784647854833,119.59779987019373,159.07965599866264,118.44645251612245,152.05595586312938,130.9618329819493,163.14256658972894,115.15178927659298,160.0208821820193,0.0326295162712261,0.06025212432648692,0.09452594902162084,0.10693033071615447,0.04334657056825672,0.09749843277068213,0.11543805705955863,0.06332753336627227,0.08821967580299188,0.04862802069042743,-0.17654109001159668,0.0038601160049438477,0.09026453800297995,0.08869967408905702,39.7040807391455,,,,,,,,,,,,
35,0,152.43784652665715,176.24641887474215,98.21937771566127,169.88659375190252,116.50700732380311,170.13842370149118,156.35478349456912,173.31359994508864,150.1071746895441,176.65980067499513,0.040793085993795226,0.04240253247891951,0.06912734863383602,0.09278747885353386,0.025607321198206218,0.07518764082871196,0.09450337633137808,0.053792150509481995,0.08327289272087897,0.04922967918124067,-0.0830695629119873,0.030370116233825684,0.08309481782875822,0.08231913074235499,32.343366467866396,,,,,,,,,,,,
35,1,165.16163987356478,177.81716424936306,119.75544583182887,163.1203503122085,119.82525162020893,154.28947499314538,129.70579425496817,162.25766399672855,120.17053765878376,156.9377288788021,0.04158611543899405,0.06188814797168539,0.09025787724564524,0.10669824322439424,0.04025660728657399,0.09673872301549306,0.11458911218449275,0.06504797298375331,0.08787895844735417,0.04418973822381174,-0.17734676599502563,0.0027381181716918945,0.10191440325344252,0.10044113210112394,42.17800189578481,,,,,,,,,,,,
