frame,hand_index,angle_thumb_pip,angle_thumb_dip,angle_index_pip,angle_index_dip,angle_middle_pip,angle_middle_dip,angle_ring_pip,angle_ring_dip,angle_pinky_pip,angle_pinky_dip,dist_thumb_index,dist_thumb_middle,dist_thumb_ring,dist_thumb_pinky,dist_index_middle,dist_index_ring,dist_index_pinky,dist_middle_ring,dist_middle_pinky,dist_ring_pinky,thumb_y_rel_wrist,thumb_y_rel_index_mcp,thumb_dist_to_index_mcp,thumb_palm_dist,thumb_adduction_angle
20,0,178.3346382085514,175.65331552687374,176.33349505202827,176.92707895899355,175.83378481493932,178.45315531347075,176.62683688783164,175.96204311283438,174.96154000333632,174.9262518863761,0.446221453014273,0.5537259100428431,0.5772035823639778,0.5703167598712325,0.11809660325468391,0.18940032116148953,0.33246956643528647,0.10043992629349505,0.2911624260568969,0.20073808248988947,-0.18288123607635498,0.13367033004760742,0.2249132165178795,-0.13815465628648108,60.513881344090784
21,0,176.93717562804824,166.84095911768378,176.19057827148538,176.91239677207867,175.55013102553684,177.84869506572863,176.7265029211055,175.81860471864925,175.0711238622906,175.04778216983013,0.43331527968944983,0.5388550560898098,0.5588407114259488,0.547708518055901,0.11664643382745024,0.18776585516868602,0.3306308941077997,0.10226732333139026,0.29289220217330986,0.2003679473389776,-0.18820202350616455,0.12599295377731323,0.2025921289727109,-0.12737880953038752,60.817173890849396
22,0,173.72472254013493,149.30275379452766,176.12776671579272,176.99256452017642,175.31676123329356,177.37192349261528,176.58427523374363,175.70115391537288,175.56563784392787,175.16229867189276,0.42712653544759754,0.5282101664240918,0.5424879368433577,0.5199136305238531,0.11529550582350538,0.1851755325054451,0.32661212768883574,0.10089477869537904,0.2904878223924953,0.19950604625013307,-0.18287783861160278,0.12606000900268555,0.1771853492357917,-0.12048668034940502,63.35587320070261
23,0,158.61756873292555,131.86073239385095,175.9368382533027,177.18611257726403,174.9412629041325,177.74878258021542,176.56869430609143,176.24007837711352,176.43199591729336,175.71767112863668,0.40902192643620805,0.4998882245561646,0.4987630871124035,0.4530983531219582,0.11393914865061544,0.18014393638420154,0.31870448104819155,0.0978824890297627,0.28458112776638583,0.1959452164625825,-0.20708447694778442,0.10448211431503296,0.13346431433360906,-0.10479738966728773,63.9486809657487
24,0,154.35501817975074,125.00374665686412,175.0891646047773,176.60471436014268,174.89955110877364,178.84242825580077,175.96050265383371,177.0198880754391,177.8052898631829,176.21724694624615,0.4169587208435861,0.5073613893715836,0.5045574825651764,0.45630397069566864,0.11747186519563788,0.18559916694216166,0.31932372531225056,0.09933066424835123,0.28004549077158525,0.19013555961884693,-0.19976383447647095,0.11546581983566284,0.14461887892744507,-0.10879296509257023,65.48251516313775
25,0,150.02950644889378,129.23332411353346,175.4985699902237,177.48981335827932,174.7981508233271,178.4798076123437,175.8193510698181,176.77559880137292,177.5907333952064,176.16926529559368,0.4088423206690683,0.496154232402233,0.49290734784880846,0.43859801610588234,0.12046661240009342,0.18897795042077165,0.3167714116331339,0.0967806632400871,0.27233498539049317,0.18601004439732555,-0.21499156951904297,0.1040186882019043,0.13065745296256834,-0.09480776052512285,63.0819883552135
26,0,144.5919112441657,142.20623790055657,175.19958269611357,177.8113998335617,174.4670647587436,179.10916158113713,175.42359411575666,177.33900456878737,177.69502277512456,176.11839832703396,0.39757859516529565,0.4835260534255835,0.4849296359450014,0.423650118104157,0.12063598844051696,0.19314928540594534,0.3134716108705505,0.09816590328287605,0.26887416400122116,0.1849506420483661,-0.22804021835327148,0.09789162874221802,0.1243014689023397,-0.08304782837530444,62.08163475798613
27,0,139.00012804763477,146.53862345600015,175.1083127138853,178.02726128149916,174.11999385603502,179.1243548165617,175.41526169181026,177.56581388605858,177.45413640545786,176.57480850133982,0.39875301713033595,0.48303195574994606,0.47427762306552146,0.4110089045365727,0.11921336319078954,0.1863971867338484,0.3058286579818278,0.09755570607255551,0.26552972724335927,0.17855859115323983,-0.23528176546096802,0.09331321716308594,0.12222573359174521,-0.07790184894978651,61.76379148777961
28,0,137.69515713270195,137.42256514679482,175.19898810948004,177.4705369115929,174.64798135405428,179.2636057474586,175.50098733541114,177.75301596148117,177.30083886948663,176.5553825447018,0.40793052320265377,0.4889675266603221,0.4792682710506254,0.4149124468726411,0.11731467271593987,0.18378145184657257,0.302878095686672,0.09560148808853011,0.26129098330457234,0.1758493067585213,-0.22672414779663086,0.1005367636680603,0.13415899403730797,-0.0799364752411844,61.44907614867361
29,0,137.59350600558795,148.94841024445228,174.96746654665168,177.81451624922184,173.89694129632113,179.54957058795537,175.03107633040048,177.85221931335602,177.14137447984012,176.8627040366617,0.4035751373756656,0.48431298851319077,0.4742095044045583,0.4143360685751836,0.11690951095529074,0.1826090214080816,0.3008685354964042,0.09475483894668492,0.25789912085956707,0.1723833768687557,-0.23063629865646362,0.09794813394546509,0.13000691169418022,-0.07910236282994132,59.86828779947093
30,0,135.22379936015443,145.76854064530912,174.99815791432283,177.65629396412444,174.109468919957,179.54944175528732,174.86657474675093,177.92231047728797,177.72094468731973,176.8113428515474,0.4010891113738097,0.47824561100397717,0.46703546064639434,0.4047954216288718,0.11631978756298546,0.18207861461238722,0.3002124008913072,0.09370901995578514,0.2558641391016084,0.17152423229861155,-0.2374039888381958,0.09323328733444214,0.12884140102800765,-0.07328871015793939,59.108335174723216
31,0,136.80609897199392,147.97315349248655,175.00478176698513,177.5435219538042,174.1845775536147,179.57209933770986,174.96473028290674,177.9666651388838,177.64770986355654,176.76554743636336,0.397403483162389,0.47381589723106715,0.46419964336941033,0.4040864824756481,0.11545512378147628,0.18252605916464454,0.29971167000804205,0.09404907195775203,0.25440523506669477,0.1700214829611767,-0.24274849891662598,0.09024429321289062,0.12438288510946978,-0.07299737163822591,58.599434583559514
